instance_seed,method,distance,valid,vehicles_used,latency_ms,improvement_pct_vs_nearest_neighbor
42200000015,gnn_reinforce,5.267815678583821,True,4,42.330299998866394,24.06455660108501
42200000015,gnn_reinforce_2opt,5.267815678583821,True,4,42.53140000218991,24.06455660108501
42200000016,nearest_neighbor,5.407541297267995,True,3,0.3586999955587089,0.0
42200000016,nearest_neighbor_2opt,5.126177254532303,True,3,0.556200000573881,5.203178806564886
42200000016,initial_policy,5.407541297267995,True,3,42.565799987642094,0.0
42200000016,gnn_reinforce,5.27295233526324,True,4,43.168900010641664,2.4889123282840595
42200000016,gnn_reinforce_2opt,4.962130804864029,True,4,43.377800000598654,8.236839404795617
42200000017,nearest_neighbor,6.663432574452839,True,3,0.3995000006398186,0.0
42200000017,nearest_neighbor_2opt,6.017938119669002,True,3,0.6025999900884926,9.687116175807354
42200000017,initial_policy,5.777439956920191,True,3,43.86020000674762,13.296339501197703
42200000017,gnn_reinforce,5.319535424878749,True,3,43.699200003175065,20.168241136355203
42200000017,gnn_reinforce_2opt,5.0100856880104,True,3,43.91890001716092,24.812240057493227
42200000018,nearest_neighbor,6.100368513413628,True,3,0.34860000596381724,0.0
42200000018,nearest_neighbor_2opt,5.803921932241167,True,3,0.5371000006562099,4.859486447755203
42200000018,initial_policy,6.100368513413628,True,3,43.20039998856373,0.0
42200000018,gnn_reinforce,5.266895262139032,True,4,42.484999998123385,13.662670532803647
42200000018,gnn_reinforce_2opt,5.214956312846122,True,4,42.70199999155011,14.514077282718922
42200000019,nearest_neighbor,4.541970277318454,True,3,0.340899990987964,0.0
42200000019,nearest_neighbor_2opt,4.338104411568923,True,3,0.5466999864438549,4.488489648811423
42200000019,initial_policy,4.541970277318454,True,3,43.091800005640835,0.0
42200000019,gnn_reinforce,3.818172403594253,True,4,42.61170000245329,15.935768609906576
42200000019,gnn_reinforce_2opt,3.7995458628522867,True,4,42.81280000577681,16.345866862530173
42200000020,nearest_neighbor,5.509797865456159,True,3,0.378099997760728,0.0
42200000020,nearest_neighbor_2opt,5.452399509076225,True,3,0.5787999980384484,1.0417506736462026
42200000020,initial_policy,4.850665716471269,True,3,43.88979999930598,11.962909803231408
42200000020,gnn_reinforce,4.629516918480158,True,3,43.3647000027122,15.976646847517731
42200000020,gnn_reinforce_2opt,4.58193139445376,True,3,43.56560000451282,16.84029965635736
42200000021,nearest_neighbor,3.936318102899346,True,2,0.360500009264797,0.0
42200000021,nearest_neighbor_2opt,3.83644503543365,True,2,0.5769999988842756,2.5372204393779305
42200000021,initial_policy,3.5791698265852863,True,2,43.641500000376254,9.073155852190846
42200000021,gnn_reinforce,3.590414887246037,True,5,42.71199999493547,8.787481260686969
42200000021,gnn_reinforce_2opt,3.5379465723346515,True,5,42.93209998286329,10.120409991033721
42200000022,nearest_neighbor,5.097793318582832,True,3,0.38559999666176736,0.0
42200000022,nearest_neighbor_2opt,4.814038280958895,True,3,0.6013999955030158,5.566232679335456
42200000022,initial_policy,4.79324620410272,True,3,43.06460000225343,5.974096936608935
42200000022,gnn_reinforce,4.005594797917713,True,3,42.595200007781386,21.424927461922817
42200000022,gnn_reinforce_2opt,3.9815227764187466,True,3,42.8004000132205,21.89713219825877
42200000023,nearest_neighbor,5.036629115076556,True,3,0.3681999951368198,0.0
42200000023,nearest_neighbor_2opt,5.036629115076556,True,3,0.5470999894896522,0.0
42200000023,initial_policy,6.529429961759525,True,4,42.78570000315085,-29.638887688085777
42200000023,gnn_reinforce,4.873571843943065,True,3,42.29040000063833,3.237428593767174
42200000023,gnn_reinforce_2opt,4.853491585648342,True,3,42.486300008022226,3.636113067766157
42200000024,nearest_neighbor,5.371552383528364,True,3,0.3735000063898042,0.0
42200000024,nearest_neighbor_2opt,5.252573265187868,True,3,0.5688000092050061,2.214985721917939
42200000024,initial_policy,5.371552383528364,True,3,43.23850000218954,0.0
42200000024,gnn_reinforce,4.5507426800562865,True,3,43.86929998872802,15.28067949200413
42200000024,gnn_reinforce_2opt,4.215271446209593,True,3,44.076399979530834,21.526010634550577
42200000025,nearest_neighbor,4.414071532215359,True,3,0.36779999209102243,0.0
42200000025,nearest_neighbor_2opt,4.266192649582421,True,3,0.5610999942291528,3.3501696008700503
42200000025,initial_policy,5.281239474125407,True,3,43.351200001779944,-19.645534413775774
